id,full_name,position,team_element
1,Fábio Ferreira Vieira,MID,1
2,Gabriel Fernando de Jesus,FWD,1
3,Gabriel dos Santos Magalhães,DEF,1
4,Kai Havertz,FWD,1
5,Karl Hein,GK,1
6,Jurriën Timber,DEF,1
7,Jorge Luiz Frello Filho,MID,1
8,Jakub Kiwior,DEF,1
9,Gabriel Martinelli Silva,MID,1
12,Ethan Nwaneri,MID,1
13,Martin Ødegaard,MID,1
15,David Raya Martin,GK,1
16,Declan Rice,MID,1
17,Bukayo Saka,MID,1
18,William Saliba,DEF,1
20,Thomas Partey,MID,1
21,Kieran Tierney,DEF,1
22,Tomiyasu Takehiro,DEF,1
23,Leandro Trossard,MID,1
24,Benjamin White,DEF,1
25,Oleksandr Zinchenko,DEF,1
73,Norberto Murara Neto,GK,1
186,Raheem Sterling,MID,1
578,Riccardo Calafiori,DEF,1
597,Myles Lewis-Skelly,MID,1
633,Mikel Merino,MID,1
638,Salah-Eddine Oulad M'hand,MID,1
639,Tommy Setford,GK,1
657,Maldini Kacurri,DEF,1
658,Ayden Heaven,DEF,1
659,Ismeal Kabia,MID,1
662,Josh Nichols,DEF,1
665,Nathan Butler-Oyedeji,FWD,1
28,Leon Bailey,MID,2
29,Ross Barkley,MID,2
30,Enzo Barrenechea,MID,2
31,Emiliano Buendía Stati,MID,2
32,Matty Cash,DEF,2
33,Leander Dendoncker,MID,2
34,Moussa Diaby,MID,2
35,Diego Carlos Santos Silva,DEF,2
36,Lucas Digne,DEF,2
37,Lewis Dobbin,MID,2
38,Jhon Durán,FWD,2
39,Joe Gauci,GK,2
40,Kortney Hause,DEF,2
41,Samuel Iling-Junior,MID,2
42,Boubacar Kamara,MID,2
43,Kaine Kesler-Hayden,DEF,2
44,Ezri Konsa Ngoyo,DEF,2
45,Ian Maatsen,DEF,2
46,Filip Marschall,GK,2
47,Emiliano Martínez Romero,GK,2
48,John McGinn,MID,2
49,Tyrone Mings,DEF,2
50,Kosta Nedeljković,DEF,2
51,Robin Olsen,GK,2
52,Pau Torres,DEF,2
53,Jacob Ramsey,MID,2
54,Morgan Rogers,MID,2
55,Viljami Sinisalo,GK,2
56,Lino da Cruz Sousa,DEF,2
57,Youri Tielemans,MID,2
58,Ollie Watkins,FWD,2
233,Amadou Onana,MID,2
569,Jaden Philogene,MID,2
598,Lamare Bogarde,DEF,2
640,Sil Swinkels,DEF,2
641,Oliwier Zych,GK,2
656,Kadan Young,MID,2
679,Ben Broggio,MID,2
59,Max Aarons,DEF,3
60,Tyler Adams,MID,3
61,Jaidon Anthony,MID,3
62,David Brooks,MID,3
63,Ryan Christie,MID,3
64,Lewis Cook,MID,3
65,Enes Ünal,FWD,3
66,Romain Faivre,MID,3
67,Hamed Traorè,MID,3
68,James Hill,DEF,3
69,Daniel Jebbison,FWD,3
70,Milos Kerkez,DEF,3
71,Justin Kluivert,MID,3
72,Chris Mepham,DEF,3
74,Dango Ouattara,MID,3
75,Alex Paulsen,GK,3
76,Philip Billing,MID,3
77,Alex Scott,MID,3
78,Antoine Semenyo,MID,3
79,Marcos Senesi,DEF,3
80,Luis Sinisterra,MID,3
81,Adam Smith,DEF,3
83,Marcus Tavernier,MID,3
84,Mark Travers,GK,3
85,Illia Zabarnyi,DEF,3
152,Kepa Arrizabalaga,GK,3
580,Dean Huijsen,DEF,3
592,Julián Araujo Zúñiga,DEF,3
599,Will Dennis,GK,3
617,Francisco Evanilson de Lima Barbosa,FWD,3
680,Max Kinsey,DEF,3
86,Kristoffer Ajer,DEF,4
87,Ethan Brierley,MID,4
88,Nathan Collins,DEF,4
89,Mikkel Damsgaard,MID,4
90,Josh Dasilva,MID,4
91,Mark Flekken,GK,4
92,Rico Henry,DEF,4
93,Aaron Hickey,DEF,4
94,Vitaly Janelt,MID,4
95,Mathias Jensen,MID,4
96,Kim Ji-soo,DEF,4
97,Yunus Emre Konak,MID,4
98,Keane Lewis-Potter,MID,4
99,Bryan Mbeumo,MID,4
100,Ben Mee,DEF,4
101,Christian Nørgaard,MID,4
102,Frank Onyeka,MID,4
103,Myles Peart-Harris,MID,4
104,Ethan Pinnock,DEF,4
105,Mads Roerslev Rasmussen,DEF,4
106,Kevin Schade,MID,4
107,Igor Thiago Nascimento Rodrigues,FWD,4
108,Ivan Toney,FWD,4
109,Hákon Valdimarsson,GK,4
110,Yoane Wissa,FWD,4
111,Yehor Yarmoliuk,MID,4
112,Mathias Jorgensen,DEF,4
314,Fábio Freitas Gouveia Carvalho,MID,4
338,Sepp van den Berg,DEF,4
602,Ryan Trevitt,MID,4
634,Gustavo Nunes Fernandes Gomes,MID,4
649,Jayden Meghoma,DEF,4
661,Tony Yogane,MID,4
674,Paris Maghoma,MID,4
113,Simon Adingra,MID,5
114,Benicio Baker-Boaitey,MID,5
115,Carlos Baleba,MID,5
116,Valentín Barco,DEF,5
118,Amario Cozier-Duberry,MID,5
119,Mahmoud Dahoud,MID,5
120,Lewis Dunk,DEF,5
121,Julio Enciso,MID,5
122,Pervis Estupiñán,DEF,5
123,Evan Ferguson,FWD,5
124,Billy Gilmour,MID,5
125,Pascal Groß,MID,5
126,Jack Hinshelwood,MID,5
127,Ibrahim Osman,MID,5
128,Igor Julio dos Santos de Paulo,DEF,5
129,João Pedro Junqueira de Jesus,FWD,5
130,Kacper Kozłowski,MID,5
131,Tariq Lamptey,DEF,5
132,Solly March,MID,5
133,Adrian Mazilu,MID,5
134,James Milner,MID,5
135,Yankuba Minteh,MID,5
136,Mitoma Kaoru,MID,5
137,Jakub Moder,MID,5
138,Mark O’Mahony,FWD,5
139,Odeluga Offiah,DEF,5
140,Cameron Peupion,MID,5
141,Jeremy Sarmiento Morante,MID,5
142,Jason Steele,GK,5
143,Deniz Undav,FWD,5
144,Jan Paul van Hecke,DEF,5
145,Joël Veltman,DEF,5
146,Bart Verbruggen,GK,5
147,Adam Webster,DEF,5
148,Danny Welbeck,FWD,5
149,Mats Wieffer,MID,5
595,Brajan Gruda,MID,5
600,Yasin Ayari,MID,5
601,Andrew Moran,MID,5
615,Carl Rushworth,GK,5
618,Georginio Rutter,MID,5
628,Ferdi Kadioglu,DEF,5
629,Matt O'Riley,MID,5
663,Imari Samuels,DEF,5
668,Killian Cahill,GK,5
681,Ruairi McConville,DEF,5
150,Andrey Nascimento dos Santos,MID,6
151,Ângelo Gabriel Borges Damaceno,MID,6
153,Benoît Badiashile,DEF,6
154,Lucas Bergström,GK,6
155,Marcus Bettinelli,GK,6
157,Moisés Caicedo Corozo,MID,6
158,Cesare Casadei,MID,6
160,Ben Chilwell,DEF,6
161,Carney Chukwuemeka,MID,6
162,Levi Colwill,DEF,6
163,Marc Cucurella Saseta,DEF,6
164,David Datro Fofana,FWD,6
165,Deivid Washington de Souza Eugênio,FWD,6
166,Kiernan Dewsbury-Hall,MID,6
167,Axel Disasi,DEF,6
168,Enzo Fernández,MID,6
169,Conor Gallagher,MID,6
170,Alfie Gilchrist,DEF,6
171,Malo Gusto,DEF,6
172,Reece James,DEF,6
173,Omari Kellyman,MID,6
174,Roméo Lavia,MID,6
175,Romelu Lukaku Bolingoli,FWD,6
176,Malang Sarr,DEF,6
177,Noni Madueke,MID,6
178,Marc Guiu Paz,FWD,6
179,Mykhailo Mudryk,MID,6
180,Nicolas Jackson,FWD,6
181,Christopher Nkunku,MID,6
182,Cole Palmer,MID,6
183,Đorđe Petrović,GK,6
184,Renato Palma Veiga,MID,6
185,Robert Sánchez,GK,6
187,Tosin Adarabioyo,DEF,6
189,Wesley Fofana,DEF,6
386,Jadon Sancho,MID,6
560,Pedro Lomba Neto,MID,6
575,Caleb Wiley,DEF,6
581,Filip Jørgensen,GK,6
621,João Félix Sequeira,MID,6
11,Eddie Nketiah,FWD,7
159,Trevoh Chalobah,DEF,7
190,Naouirou Ahamada,MID,7
193,Cheick Doucouré,MID,7
194,Chris Richards,DEF,7
195,Chadi Riad Dnanou,DEF,7
196,Nathaniel Clyne,DEF,7
197,Malcolm Ebiowei,MID,7
199,Eberechi Eze,MID,7
200,Marc Guéhi,DEF,7
201,Dean Henderson,GK,7
202,Rob Holding,DEF,7
203,Will Hughes,MID,7
205,Daichi Kamada,MID,7
206,Jefferson Lerma Solís,MID,7
207,Jean-Philippe Mateta,FWD,7
208,Matheus França de Oliveira,MID,7
209,Remi Matthews,GK,7
210,Tyrick Mitchell,DEF,7
211,Daniel Muñoz,DEF,7
212,David Ozoh,MID,7
213,Jesurun Rak-Sakyi,MID,7
214,Jeffrey Schlupp,MID,7
215,Joel Ward,DEF,7
216,Adam Wharton,MID,7
445,Matt Turner,GK,7
585,Ismaïla Sarr,MID,7
644,Franco Umeh-Chibueze,MID,7
645,Justin Devenny,MID,7
646,Asher Agbinone,MID,7
647,Kaden Rodney,MID,7
650,Maxence Lacroix,DEF,7
666,Caleb Kporha,DEF,7
676,Zach Marsh,FWD,7
156,Armando Broja,FWD,8
217,Abdoulaye Doucouré,MID,8
218,Norberto Bercique Gomes Betuncal,FWD,8
219,Jarrad Branthwaite,DEF,8
220,Dominic Calvert-Lewin,FWD,8
221,Séamus Coleman,DEF,8
222,Idrissa Gueye,MID,8
223,James Garner,MID,8
224,Jack Harrison,MID,8
225,Mason Holgate,DEF,8
226,Tim Iroegbunam,MID,8
227,João Neves Virgínia,GK,8
228,Michael Keane,DEF,8
229,Neal Maupay,FWD,8
230,Dwight McNeil,MID,8
231,Vitalii Mykolenko,DEF,8
232,Iliman Ndiaye,FWD,8
234,Nathan Patterson,DEF,8
235,Jordan Pickford,GK,8
236,James Tarkowski,DEF,8
237,Youssef Ramalho Chermiti,FWD,8
238,Ashley Young,DEF,8
577,Jesper Lindstrøm,MID,8
582,Jake O'Brien,DEF,8
603,Harrison Armstrong,MID,8
614,Jenson Metcalfe,MID,8
624,Asmir Begovic,GK,8
627,Roman Dixon,DEF,8
651,Orel Mangala,MID,8
678,Callum Bates,MID,8
10,Reiss Nelson,MID,9
19,Emile Smith Rowe,MID,9
191,Joachim Andersen,DEF,9
239,Adama Traoré,MID,9
240,Andreas Hoelgebaum Pereira,MID,9
241,Calvin Bassey,DEF,9
242,Steven Benda,GK,9
243,Tom Cairney,MID,9
244,Timothy Castagne,DEF,9
245,Issa Diop,DEF,9
246,Luke Harris,MID,9
247,Alex Iwobi,MID,9
248,Bernd Leno,GK,9
249,Saša Lukić,MID,9
250,Kevin Mbabu,DEF,9
251,Rodrigo Muniz Carvalho,FWD,9
252,Raúl Jiménez,FWD,9
253,Tim Ream,DEF,9
254,Harrison Reed,MID,9
255,Antonee Robinson,DEF,9
256,Jay Stansfield,FWD,9
257,Kenny Tete,DEF,9
258,Carlos Vinícius Alves Morais,FWD,9
259,Harry Wilson,MID,9
579,Ryan Sessegnon,DEF,9
586,Jorge Cuenca Barreno,DEF,9
604,Josh King,MID,9
605,Martial Godo,MID,9
622,Sander Berge,MID,9
260,Ali Al-Hamadi,FWD,10
261,Elkan Baggott,DEF,10
262,Nathan Broadhead,MID,10
263,Cameron Burgess,DEF,10
264,Wes Burns,MID,10
265,Conor Chaplin,MID,10
266,Harry Clarke,DEF,10
267,Leif Davis,DEF,10
268,Liam Delap,FWD,10
269,George Edmundson,DEF,10
270,Jacob Greaves,DEF,10
271,Marcus Myers-Harness,MID,10
272,George Hirst,FWD,10
273,Cameron Humphreys,MID,10
274,Omari Giraud-Hutchinson,MID,10
275,Ben Johnson,DEF,10
276,Freddie Ladapo,FWD,10
277,Massimo Luongo,MID,10
278,Sam Morsy,MID,10
279,Corrie Ndaba,DEF,10
280,Cieran Slicker,GK,10
281,Jack Taylor,MID,10
282,Axel Tuanzebe,DEF,10
283,Christian Walton,GK,10
284,Luke Woolfenden,DEF,10
359,Kalvin Phillips,MID,10
568,Arijanet Muric,GK,10
583,Conor Townsend,DEF,10
611,Sam Szmodics,MID,10
619,Jens Cajuste,MID,10
630,Dara O'Shea,DEF,10
631,Jack Clarke,MID,10
632,Chiedozie Ogbene,MID,10
117,Facundo Buonanotte,MID,11
192,Jordan Ayew,MID,11
198,Odsonne Edouard,FWD,11
285,Boubakary Soumaré,MID,11
286,Tom Cannon,FWD,11
287,Hamza Choudhury,MID,11
288,Conor Coady,DEF,11
289,Patson Daka,FWD,11
290,Bobby De Cordova-Reid,MID,11
291,Wout Faes,DEF,11
292,Michael Golding,MID,11
293,Mads Hermansen,GK,11
294,Daniel Iversen,GK,11
295,James Justin,DEF,11
296,Victor Kristiansen,DEF,11
297,Wanya Marçal-Madivádua,MID,11
298,Stephy Mavididi,MID,11
299,Kasey McAteer,MID,11
300,Wilfred Ndidi,MID,11
301,Caleb Okoli,DEF,11
302,Ricardo Barbosa Pereira,DEF,11
303,Harry Souttar,DEF,11
304,Jakub Stolarczyk,GK,11
305,Luke Thomas,DEF,11
306,Jamie Vardy,FWD,11
307,Jannik Vestergaard,DEF,11
308,Danny Ward,GK,11
309,Harry Winks,MID,11
501,Oliver Skipp,MID,11
570,Abdul Fatawu,MID,11
606,Will Alves,MID,11
616,Ben Nelson,DEF,11
635,Bilal El Khannouss,MID,11
310,Alisson Ramses Becker,GK,12
311,Trent Alexander-Arnold,DEF,12
312,Stefan Bajčetić Maquieira,MID,12
313,Conor Bradley,DEF,12
315,Bobby Clark,MID,12
316,Darwin Núñez Ribeiro,FWD,12
317,Diogo Teixeira da Silva,MID,12
318,Ben Doak,MID,12
319,Harvey Elliott,MID,12
320,Endo Wataru,MID,12
321,Cody Gakpo,FWD,12
322,Joe Gomez,DEF,12
323,Ryan Gravenberch,MID,12
324,Curtis Jones,MID,12
325,Caoimhin Kelleher,GK,12
326,Ibrahima Konaté,DEF,12
327,Luis Díaz,MID,12
328,Mohamed Salah,MID,12
329,Alexis Mac Allister,MID,12
330,James McConnell,MID,12
331,Tyler Morton,MID,12
332,Nathaniel Phillips,DEF,12
333,Jarell Quansah,DEF,12
334,Rhys Williams,DEF,12
335,Andrew Robertson,DEF,12
336,Dominik Szoboszlai,MID,12
337,Konstantinos Tsimikas,DEF,12
339,Virgil van Dijk,DEF,12
636,Federico Chiesa,MID,12
660,Vítezslav Jaros,GK,12
669,Harvey Davies,GK,12
340,Manuel Akanji,DEF,13
341,Nathan Aké,DEF,13
342,Bernardo Veiga de Carvalho e Silva,MID,13
343,Oscar Bobb,MID,13
344,Scott Carson,GK,13
345,Kevin De Bruyne,MID,13
346,Jérémy Doku,MID,13
347,Ederson Santana de Moraes,GK,13
348,Phil Foden,MID,13
349,Jack Grealish,MID,13
350,Joško Gvardiol,DEF,13
351,Erling Haaland,FWD,13
352,Julián Álvarez,FWD,13
353,João Cavaco Cancelo,DEF,13
354,Mateo Kovačić,MID,13
355,Rico Lewis,DEF,13
356,Matheus Luiz Nunes,MID,13
357,James McAtee,MID,13
358,Stefan Ortega Moreno,GK,13
360,Rodrigo 'Rodri' Hernandez,MID,13
361,Rúben Gato Alves Dias,DEF,13
362,John Stones,DEF,13
363,Kyle Walker,DEF,13
571,Sávio 'Savinho' Moreira de Oliveira,MID,13
607,Nico O'Reilly,MID,13
625,Ilkay Gündogan,MID,13
626,Issa Kaboré,DEF,13
671,Jacob Wright,MID,13
672,Jahmai Simpson-Pusey,DEF,13
675,Josh Wilson-Esbrand,DEF,13
364,Amad Diallo,MID,14
365,Antony Matheus dos Santos,MID,14
366,Bruno Borges Fernandes,MID,14
367,Altay Bayindir,GK,14
368,Carlos Henrique Casimiro,MID,14
369,Diogo Dalot Teixeira,DEF,14
370,Christian Eriksen,MID,14
371,Jonny Evans,DEF,14
372,Alejandro Garnacho,MID,14
373,Hannibal Mejbri,MID,14
374,Tom Heaton,GK,14
375,Rasmus Højlund,FWD,14
376,Victor Lindelöf,DEF,14
377,Harry Maguire,DEF,14
378,Kobbie Mainoo,MID,14
379,Tyrell Malacia,DEF,14
380,Lisandro Martínez,DEF,14
381,Scott McTominay,MID,14
382,Mason Mount,MID,14
383,André Onana,GK,14
384,Facundo Pellistri Rebollo,MID,14
385,Marcus Rashford,MID,14
387,Luke Shaw,DEF,14
389,Joshua Zirkzee,FWD,14
572,Leny Yoro,DEF,14
593,Matthijs de Ligt,DEF,14
594,Noussair Mazraoui,DEF,14
613,Toby Collyer,MID,14
648,Ethan Wheatley,FWD,14
652,Manuel Ugarte,MID,14
667,Jack Fletcher,MID,14
670,Harry Amass,DEF,14
673,Jayce Fitzgerald,MID,14
390,Alex Murphy,DEF,15
391,Miguel Almirón Rejala,MID,15
392,Harvey Barnes,MID,15
393,Sven Botman,DEF,15
394,Bruno Guimarães Rodriguez Moura,MID,15
395,Dan Burn,DEF,15
396,Martin Dúbravka,GK,15
398,Anthony Gordon,MID,15
399,Lewis Hall,DEF,15
400,Isaac Hayden,MID,15
401,Alexander Isak,FWD,15
402,Jacob Murphy,MID,15
403,Joelinton Cássio Apolinário de Lira,MID,15
404,Lloyd Kelly,DEF,15
405,Emil Krafth,DEF,15
406,Garang Kuol,MID,15
407,Jamaal Lascelles,DEF,15
408,Jamal Lewis,DEF,15
409,Tino Livramento,DEF,15
410,Sean Longstaff,MID,15
411,Lewis Miley,MID,15
412,Odysseas Vlachodimos,GK,15
413,Nick Pope,GK,15
414,John Ruddy,GK,15
415,Fabian Schär,DEF,15
416,Matt Targett,DEF,15
417,Sandro Tonali,MID,15
418,Kieran Trippier,DEF,15
419,Joe White,MID,15
420,Joe Willock,MID,15
421,Callum Wilson,FWD,15
574,Miodrag Pivaš,DEF,15
590,William Osula,FWD,15
26,Álex Moreno Lopera,DEF,16
422,Ola Aina,DEF,16
423,Elliot Anderson,MID,16
424,Taiwo Awoniyi,FWD,16
425,Willy Boly,DEF,16
426,Josh Bowler,MID,16
427,Carlos Miguel dos Santos Pereira,GK,16
428,Eric da Silva Moreira,MID,16
429,Danilo dos Santos de Oliveira,MID,16
430,Emmanuel Dennis,FWD,16
431,Nicolás Domínguez,MID,16
432,Anthony Elanga,MID,16
433,Morgan Gibbs-White,MID,16
434,Callum Hudson-Odoi,MID,16
435,Alex Mighten,MID,16
436,Murillo Santiago Costa dos Santos,DEF,16
437,Neco Williams,DEF,16
438,Omar Richards,DEF,16
439,Lewis O'Brien,MID,16
440,Andrew Omobamidele,DEF,16
441,Jonathan Panzo,DEF,16
442,Ibrahim Sangaré,MID,16
443,Matz Sels,GK,16
444,Harry Toffolo,DEF,16
446,Hwang Ui-jo,FWD,16
447,Chris Wood,FWD,16
448,Joe Worrall,DEF,16
449,Ryan Yates,MID,16
531,James Ward-Prowse,MID,16
573,Nikola Milenković,DEF,16
596,João Pedro Ferreira Silva,MID,16
620,Ramón Sosa,MID,16
653,Felipe Rodrigues da Silva,DEF,16
14,Aaron Ramsdale,GK,17
27,Cameron Archer,FWD,17
188,Lesley Ugochukwu,MID,17
397,Ryan Fraser,MID,17
450,Carlos Alcaraz Durán,MID,17
451,Samuel Amo-Ameyaw,MID,17
452,Joe Aribo,MID,17
453,Adam Armstrong,FWD,17
454,Gavin Bazunu,GK,17
455,Jan Bednarek,DEF,17
456,Armel Bella-Kotchap,DEF,17
457,James Bree,DEF,17
458,Shea Charles,MID,17
459,Samuel Edozie,MID,17
460,Ronnie Edwards,DEF,17
461,Taylor Harwood-Bellis,DEF,17
462,Kamaldeen Sulemana,MID,17
463,Adam Lallana,MID,17
464,Juan Larios López,DEF,17
465,Mateusz Lis,GK,17
466,Joe Lumley,GK,17
467,Ryan Manning,DEF,17
468,Sékou Mara,FWD,17
469,Alex McCarthy,GK,17
470,Paul Onuachu,FWD,17
471,Will Smallbone,MID,17
472,Jack Stephens,DEF,17
473,Ross Stewart,FWD,17
474,Sugawara Yukinari,DEF,17
475,Charlie Taylor,DEF,17
476,Kyle Walker-Peters,DEF,17
477,Nathan Wood-Gordon,DEF,17
515,Maxwel Cornet,MID,17
518,Flynn Downes,MID,17
584,Ben Brereton Díaz,MID,17
608,Tyler Dibling,MID,17
623,Mateus Gonçalo Espanha Fernandes,MID,17
82,Dominic Solanke-Mitchell,FWD,18
478,Ashley Phillips,DEF,18
479,Brandon Austin,GK,18
480,Rodrigo Bentancur,MID,18
481,Lucas Bergvall,MID,18
482,Yves Bissouma,MID,18
483,Bryan Gil Salvatierra,MID,18
484,Ben Davies,DEF,18
485,Alfie Devine,MID,18
486,Radu Drăgușin,DEF,18
487,Emerson Leite de Souza Junior,DEF,18
488,Fraser Forster,GK,18
489,Archie Gray,MID,18
490,Pierre-Emile Højbjerg,MID,18
491,Brennan Johnson,MID,18
492,Dejan Kulusevski,MID,18
493,Giovani Lo Celso,MID,18
494,James Maddison,MID,18
495,Pedro Porro,DEF,18
496,Sergio Reguilón,DEF,18
497,Richarlison de Andrade,FWD,18
498,Cristian Romero,DEF,18
499,Pape Matar Sarr,MID,18
500,Dane Scarlett,FWD,18
502,Manor Solomon,MID,18
503,Son Heung-min,MID,18
504,Djed Spence,DEF,18
505,Destiny Udogie,DEF,18
506,Micky van de Ven,DEF,18
507,Alejo Véliz,FWD,18
508,Guglielmo Vicario,GK,18
509,Timo Werner,MID,18
510,Alfie Whiteman,GK,18
609,Will Lankshear,FWD,18
610,Mikey Moore,MID,18
612,Wilson Odobert,MID,18
683,Callum Olusesi,MID,18
684,Malachi Hardy,DEF,18
388,Aaron Wan-Bissaka,DEF,19
511,Edson Álvarez Velázquez,MID,19
512,Michail Antonio,FWD,19
513,Alphonse Areola,GK,19
514,Jarrod Bowen,MID,19
516,Vladimír Coufal,DEF,19
517,Aaron Cresswell,DEF,19
519,George Earthy,MID,19
520,Emerson Palmieri dos Santos,DEF,19
521,Łukasz Fabiański,GK,19
522,Wes Foderingham,GK,19
523,Danny Ings,FWD,19
524,Max Kilman,DEF,19
525,Mohammed Kudus,MID,19
526,Luis Guilherme Lira dos Santos,MID,19
527,Lucas Tolentino Coelho de Lima,MID,19
528,Konstantinos Mavropanos,DEF,19
529,Nayef Aguerd,DEF,19
530,Tomáš Souček,MID,19
532,Kurt Zouma,DEF,19
576,Andy Irving,MID,19
587,Crysencio Summerville,MID,19
588,Guido Rodríguez,MID,19
589,Niclas Füllkrug,FWD,19
591,Jean-Clair Todibo,DEF,19
643,Kaelan Casey,DEF,19
654,Carlos Soler,MID,19
677,Ollie Scarles,DEF,19
204,Sam Johnstone,GK,20
533,Rayan Aït-Nouri,DEF,20
534,Boubacar Traoré,MID,20
535,Jean-Ricner Bellegarde,MID,20
536,Daniel Bentley,GK,20
537,Francisco Jorge Tomás Oliveira,MID,20
538,Tawanda Chirewa,MID,20
539,Leon Chiwome,FWD,20
540,Luke Cundle,MID,20
541,Matheus Santos Carneiro Da Cunha,FWD,20
542,Craig Dawson,DEF,20
543,Matt Doherty,DEF,20
544,Tommy Doyle,MID,20
545,Fábio Silva,FWD,20
546,Nathan Fraser,FWD,20
547,Enso González,MID,20
548,Gonçalo Manuel Ganchinho Guedes,MID,20
549,Hugo Bueno López,DEF,20
550,Hwang Hee-chan,MID,20
551,Joe Hodge,MID,20
552,Ki-Jana Hoever,DEF,20
553,João Victor Gomes da Silva,MID,20
554,José Malheiro de Sá,GK,20
555,Saša Kalajdžić,FWD,20
556,Tom King,GK,20
557,Mario Lemina,MID,20
558,Yerson Mosquera,DEF,20
559,Nélson Cabral Semedo,DEF,20
561,Pedro Cardoso de Lima,DEF,20
562,Daniel Castelo Podence,MID,20
563,Rodrigo Martins Gomes,MID,20
564,Santiago Bueno,DEF,20
565,Pablo Sarabia,MID,20
566,Jørgen Strand Larsen,FWD,20
567,Toti António Gomes,DEF,20
637,Bastien Meupiyou,DEF,20
642,André Trindade da Costa Neto,MID,20
655,Carlos Roberto Forbs Borges,MID,20
664,Alfie Pond,DEF,20
682,Tom Edozie,MID,20
